iter	Passed	Remaining
0	164	164560
1	169	84786
2	173	57751
3	178	44446
4	180	35918
5	184	30548
6	188	26699
7	193	23991
8	199	21918
9	221	21953
10	226	20345
11	228	18817
12	230	17530
13	234	16538
14	239	15727
15	243	14968
16	247	14291
17	251	13696
18	255	13193
19	259	12707
20	263	12268
21	265	11822
22	270	11496
23	275	11197
24	278	10870
25	281	10554
26	285	10299
27	290	10074
28	292	9805
29	297	9629
30	301	9436
31	305	9228
32	308	9033
33	312	8870
34	314	8681
35	318	8534
36	322	8396
37	326	8267
38	329	8113
39	333	7997
40	337	7885
41	341	7779
42	344	7675
43	348	7578
44	352	7483
45	356	7394
46	360	7307
47	364	7223
48	368	7142
49	371	7067
50	375	6993
51	378	6901
52	382	6834
53	414	7259
54	419	7215
55	422	7123
56	425	7036
57	430	6987
58	434	6931
59	439	6883
60	444	6840
61	449	6795
62	453	6744
63	457	6688
64	461	6633
65	465	6589
66	470	6552
67	475	6517
68	479	6468
69	484	6436
70	487	6377
71	491	6332
72	495	6289
73	499	6250
74	503	6207
75	507	6166
76	511	6127
77	514	6087
78	517	6035
79	521	5998
80	525	5962
81	529	5926
82	533	5890
83	537	5858
84	544	5860
85	548	5827
86	552	5794
87	556	5767
88	561	5745
89	565	5714
90	569	5683
91	573	5662
92	578	5638
93	581	5609
94	585	5581
95	589	5554
96	593	5526
97	597	5499
98	601	5474
99	605	5448
100	609	5423
101	613	5397
102	618	5385
103	624	5376
104	629	5369
105	635	5356
106	647	5400
107	651	5377
108	655	5360
109	659	5337
110	663	5314
111	667	5291
112	671	5272
113	675	5250
114	679	5229
115	683	5208
116	687	5187
117	691	5166
118	695	5146
119	699	5126
120	703	5107
121	706	5087
122	708	5054
123	712	5036
124	716	5017
125	720	4999
126	725	4984
127	729	4966
128	732	4948
129	736	4930
130	740	4913
131	744	4896
132	748	4878
133	752	4861
134	756	4844
135	759	4828
136	763	4812
137	767	4796
138	771	4779
139	775	4763
140	779	4748
141	783	4733
142	787	4718
143	791	4703
144	795	4688
145	799	4675
146	803	4661
147	807	4646
148	811	4632
149	816	4626
150	821	4618
151	827	4614
152	832	4606
153	836	4598
154	842	4591
155	847	4583
156	852	4578
157	856	4566
158	861	4558
159	866	4551
160	871	4544
161	875	4531
162	879	4517
163	883	4504
164	887	4493
165	891	4480
166	895	4467
167	899	4455
168	904	4448
169	909	4441
170	914	4435
171	920	4433
172	925	4426
173	930	4419
174	936	4412
175	941	4409
176	950	4420
177	956	4416
178	961	4411
179	966	4404
180	972	4398
181	977	4392
182	982	4385
183	987	4381
184	993	4374
185	998	4368
186	1003	4361
187	1008	4355
188	1013	4347
189	1018	4341
190	1024	4339
191	1029	4333
192	1036	4334
193	1042	4332
194	1056	4359
195	1060	4349
196	1064	4340
197	1068	4329
198	1072	4318
199	1076	4307
200	1080	4295
201	1084	4285
202	1088	4274
203	1092	4263
204	1096	4252
205	1100	4242
206	1104	4231
207	1108	4220
208	1112	4209
209	1116	4199
210	1120	4188
211	1123	4177
212	1127	4167
213	1131	4157
214	1135	4146
215	1139	4136
216	1148	4142
217	1152	4134
218	1156	4123
219	1160	4114
220	1164	4104
221	1168	4094
222	1172	4084
223	1176	4076
224	1181	4070
225	1185	4060
226	1189	4051
227	1193	4041
228	1197	4031
229	1201	4021
230	1205	4012
231	1209	4004
232	1214	3996
233	1217	3986
234	1223	3982
235	1228	3978
236	1234	3973
237	1239	3970
238	1244	3961
239	1248	3952
240	1251	3942
241	1256	3936
242	1260	3927
243	1264	3917
244	1271	3918
245	1276	3913
246	1280	3904
247	1285	3896
248	1286	3881
249	1290	3872
250	1294	3863
251	1298	3854
252	1302	3845
253	1306	3837
254	1310	3828
255	1314	3820
256	1318	3811
257	1322	3802
258	1326	3794
259	1330	3787
260	1333	3775
261	1337	3766
262	1341	3758
263	1345	3749
264	1348	3741
265	1352	3732
266	1356	3724
267	1360	3716
268	1364	3707
269	1368	3699
270	1372	3691
271	1376	3683
272	1380	3675
273	1383	3666
274	1387	3658
275	1391	3650
276	1395	3642
277	1399	3633
278	1403	3625
279	1407	3619
280	1411	3611
281	1415	3603
282	1421	3600
283	1426	3595
284	1431	3590
285	1439	3593
286	1448	3597
287	1452	3591
288	1456	3583
289	1460	3575
290	1464	3567
291	1468	3561
292	1472	3553
293	1476	3545
294	1480	3538
295	1486	3535
296	1490	3528
297	1494	3520
298	1498	3514
299	1502	3506
300	1506	3499
301	1510	3491
302	1515	3485
303	1519	3477
304	1522	3470
305	1526	3462
306	1530	3455
307	1534	3447
308	1538	3440
309	1542	3433
310	1546	3425
311	1550	3418
312	1554	3411
313	1558	3404
314	1562	3397
315	1566	3390
316	1570	3382
317	1573	3375
318	1577	3368
319	1581	3361
320	1585	3353
321	1589	3346
322	1593	3339
323	1596	3331
324	1600	3324
325	1604	3317
326	1608	3310
327	1612	3303
328	1617	3298
329	1622	3294
330	1628	3290
331	1633	3287
332	1639	3283
333	1643	3276
334	1649	3274
335	1654	3269
336	1658	3263
337	1662	3256
338	1666	3249
339	1670	3242
340	1674	3235
341	1678	3228
342	1682	3221
343	1685	3215
344	1689	3208
345	1693	3201
346	1697	3194
347	1701	3187
348	1705	3181
349	1709	3174
350	1713	3167
351	1717	3161
352	1721	3154
353	1723	3145
354	1727	3139
355	1731	3132
356	1735	3125
357	1739	3119
358	1743	3112
359	1747	3106
360	1750	3099
361	1756	3095
362	1761	3091
363	1765	3084
364	1771	3081
365	1774	3074
366	1778	3067
367	1782	3061
368	1787	3057
369	1792	3052
370	1797	3048
371	1802	3043
372	1806	3037
373	1810	3030
374	1817	3028
375	1822	3024
376	1827	3020
377	1833	3017
378	1839	3014
379	1843	3007
380	1847	3001
381	1851	2995
382	1855	2989
383	1860	2984
384	1864	2978
385	1868	2972
386	1872	2965
387	1876	2959
388	1880	2953
389	1883	2946
390	1887	2940
391	1892	2934
392	1895	2928
393	1899	2922
394	1903	2915
395	1908	2911
396	1912	2904
397	1916	2898
398	1920	2892
399	1924	2886
400	1928	2880
401	1932	2874
402	1936	2868
403	1940	2862
404	1943	2855
405	1947	2849
406	1952	2844
407	1955	2837
408	1959	2831
409	1963	2825
410	1967	2819
411	1971	2813
412	1975	2807
413	1979	2801
414	1983	2795
415	1987	2789
416	1991	2783
417	1995	2777
418	1998	2771
419	2003	2766
420	2008	2761
421	2014	2759
422	2019	2754
423	2024	2750
424	2030	2747
425	2036	2743
426	2042	2740
427	2048	2737
428	2053	2732
429	2058	2728
430	2063	2723
431	2068	2720
432	2073	2715
433	2078	2710
434	2082	2704
435	2086	2698
436	2090	2693
437	2094	2687
438	2098	2681
439	2103	2676
440	2108	2672
441	2112	2666
442	2116	2660
443	2120	2655
444	2124	2649
445	2128	2643
446	2134	2641
447	2139	2636
448	2143	2630
449	2147	2624
450	2151	2618
451	2154	2612
452	2158	2606
453	2162	2601
454	2166	2595
455	2170	2589
456	2174	2583
457	2178	2578
458	2182	2572
459	2186	2566
460	2190	2560
461	2194	2555
462	2198	2549
463	2202	2543
464	2205	2537
465	2211	2533
466	2216	2529
467	2221	2525
468	2227	2521
469	2232	2517
470	2238	2514
471	2242	2508
472	2246	2503
473	2251	2497
474	2254	2492
475	2258	2486
476	2262	2480
477	2266	2475
478	2270	2469
479	2274	2463
480	2278	2458
481	2282	2452
482	2286	2446
483	2289	2441
484	2293	2435
485	2297	2429
486	2301	2424
487	2305	2418
488	2309	2413
489	2313	2407
490	2316	2401
491	2320	2396
492	2324	2390
493	2328	2385
494	2332	2379
495	2336	2374
